subject	segment	cloze	lab	item	n400
bris08	12	0	bris	107	-13.82
bris08	13	80	bris	110	2.70
bris08	14	97	bris	113	6.38
bris08	15	93	bris	109	12.41
bris08	16	7	bris	103	1.23
bris08	17	62	bris	117	0.19
bris08	18	0	bris	119	-0.97
bris08	19	93	bris	105	23.77
bris08	20	80	bris	137	33.02
bris08	21	0	bris	135	2.31
bris08	22	87	bris	126	-10.66
bris08	23	0	bris	140	15.19
bris08	24	53	bris	122	-1.41
bris08	25	53	bris	133	14.19
bris08	26	97	bris	134	13.57
bris08	27	93	bris	138	9.81
bris08	28	40	bris	124	2.20
bris08	29	3	bris	132	3.94
bris08	30	0	bris	131	5.05
bris08	31	77	bris	121	-0.93
bris08	32	3	bris	123	17.43
bris08	33	0	bris	127	-0.84
bris08	34	97	bris	125	11.11
bris08	35	7	bris	136	7.12
bris08	36	0	bris	139	7.20
bris08	37	90	bris	130	8.75
bris08	38	67	bris	128	9.84
bris08	39	90	bris	129	12.38
bris08	40	27	bris	160	-8.40
bris08	41	77	bris	154	4.59
bris08	42	63	bris	146	6.69
bris08	43	100	bris	141	6.19
bris08	44	73	bris	158	-2.09
bris08	45	0	bris	152	10.83
bris08	46	69	bris	157	25.38
bris08	47	47	bris	144	0.73
bris08	48	37	bris	142	20.24
bris08	49	3	bris	151	4.13
bris08	50	93	bris	153	-5.49
bris08	51	7	bris	159	1.52
bris08	52	40	bris	149	3.84
bris08	53	60	bris	155	-0.77
bris08	54	0	bris	148	6.88
bris08	55	0	bris	156	21.10
bris08	56	13	bris	147	6.27
bris08	57	67	bris	145	19.12
bris08	58	37	bris	150	9.45
bris08	59	40	bris	143	10.71
bris08	60	0	bris	167	0.75
bris08	61	0	bris	176	10.96
bris08	62	0	bris	175	16.66
bris08	63	23	bris	166	14.43
bris08	64	100	bris	177	-2.01
bris08	65	93	bris	165	17.44
bris08	66	70	bris	162	11.17
bris08	67	0	bris	179	-4.75
bris08	68	93	bris	169	8.39
bris08	69	97	bris	178	-12.51
bris08	70	0	bris	171	-10.91
bris08	71	34	bris	161	7.44
bris08	72	10	bris	168	8.58
bris08	73	0	bris	163	-8.13
bris08	74	93	bris	174	-11.49
bris08	75	77	bris	164	10.69
bris08	76	57	bris	170	10.71
bris08	77	80	bris	173	-6.99
bris08	78	0	bris	180	3.22
bris09	1	93	bris	104	2.39
bris09	2	100	bris	103	14.43
bris09	3	0	bris	114	3.97
bris09	4	87	bris	111	10.65
bris09	5	80	bris	107	20.38
bris09	6	100	bris	112	0.51
bris09	7	3	bris	110	1.76
bris09	8	0	bris	101	3.53
bris09	9	3	bris	102	18.40
bris09	10	93	bris	116	-2.22
bris09	11	0	bris	105	4.21
bris09	12	97	bris	108	4.37
bris09	13	0	bris	117	4.68
bris09	14	90	bris	120	17.57
bris09	15	3	bris	109	4.79
bris09	16	0	bris	118	9.91
bris09	17	90	bris	115	10.81
bris09	18	0	bris	113	7.31
bris09	19	0	bris	106	4.81
bris09	20	100	bris	119	29.05
bris09	21	77	bris	131	-1.74
bris09	22	93	bris	140	1.98
bris09	23	77	bris	136	-2.30
bris09	24	93	bris	124	5.90
bris09	25	97	bris	135	5.59
bris09	26	93	bris	123	9.40
bris09	27	0	bris	133	5.84
bris09	28	30	bris	134	9.06
bris09	29	3	bris	121	12.38
bris09	30	97	bris	127	26.54
bris09	31	17	bris	122	17.24
bris09	32	0	bris	125	-0.90
bris09	33	0	bris	137	0.20
bris09	34	0	bris	130	-6.80
bris09	35	0	bris	138	8.40
bris09	36	97	bris	139	11.61
bris09	37	80	bris	132	13.40
bris09	38	90	bris	129	4.39
bris09	39	27	bris	128	-0.81
bris09	40	7	bris	141	2.33
bris09	41	17	bris	145	5.67
bris09	42	50	bris	149	1.04
bris09	43	87	bris	152	11.08
bris09	44	13	bris	142	-5.55
bris09	45	90	bris	151	-8.18
bris09	46	93	bris	143	-3.38
bris09	47	73	bris	159	3.27
bris09	48	30	bris	154	-0.70
bris09	49	7	bris	153	12.23
bris09	50	90	bris	144	16.49
bris09	51	3	bris	150	11.52
bris09	52	93	bris	156	-1.77
bris09	53	20	bris	146	5.58
bris09	54	93	bris	155	-2.03
bris09	55	0	bris	158	-7.80
bris09	56	100	bris	147	-2.20
bris09	57	87	bris	148	-15.56
bris09	58	0	bris	157	-7.53
bris09	59	90	bris	160	17.01
bris09	60	97	bris	179	8.90
bris09	61	7	bris	166	9.74
bris09	62	0	bris	161	5.07
bris09	63	0	bris	178	4.52
bris09	64	7	bris	173	-0.16
bris09	65	0	bris	174	-11.71
bris09	66	87	bris	167	-5.65
bris09	67	90	bris	176	9.63
bris09	68	97	bris	180	6.05
bris09	69	60	bris	175	20.17
bris09	70	7	bris	165	6.63
bris09	71	27	bris	168	5.67
bris09	72	50	bris	164	6.90
bris09	73	0	bris	169	-1.89
bris09	74	0	bris	162	10.15
bris09	75	83	bris	163	2.88
bris09	76	0	bris	177	3.43
bris09	77	3	bris	170	2.53
bris09	78	90	bris	171	-4.13
bris09	79	90	bris	172	14.19
bris10	1	0	bris	101	21.31
bris10	2	90	bris	115	1.75
bris10	3	100	bris	119	12.65
bris10	4	3	bris	102	0.11
bris10	5	93	bris	116	17.92
bris10	6	0	bris	113	20.85
bris10	7	0	bris	105	23.03
bris10	8	0	bris	118	18.79
bris10	9	90	bris	120	9.98
